character,code_point,unicode_name
‚,U+201A,SINGLE LOW-9 QUOTATION MARK
’,U+2019,RIGHT SINGLE QUOTATION MARK
ļ,U+013C,LATIN SMALL LETTER L WITH CEDILLA
Ł,U+0141,LATIN CAPITAL LETTER L WITH STROKE
š,U+0161,LATIN SMALL LETTER S WITH CARON
®,U+00AE,REGISTERED SIGN
Ź,U+0179,LATIN CAPITAL LETTER Z WITH ACUTE
ś,U+015B,LATIN SMALL LETTER S WITH ACUTE
ŕ,U+0155,LATIN SMALL LETTER R WITH ACUTE
Ř,U+0158,LATIN CAPITAL LETTER R WITH CARON
#,U+0023,NUMBER SIGN
Ŗ,U+0156,LATIN CAPITAL LETTER R WITH CEDILLA
ř,U+0159,LATIN SMALL LETTER R WITH CARON
Ī,U+012A,LATIN CAPITAL LETTER I WITH MACRON
ŗ,U+0157,LATIN SMALL LETTER R WITH CEDILLA
ī,U+012B,LATIN SMALL LETTER I WITH MACRON
°,U+00B0,DEGREE SIGN
ý,U+00FD,LATIN SMALL LETTER Y WITH ACUTE
Į,U+012E,LATIN CAPITAL LETTER I WITH OGONEK
Ý,U+00DD,LATIN CAPITAL LETTER Y WITH ACUTE
ť,U+0165,LATIN SMALL LETTER T WITH CARON
ł,U+0142,LATIN SMALL LETTER L WITH STROKE
Ů,U+016E,LATIN CAPITAL LETTER U WITH RING ABOVE
Ô,U+00D4,LATIN CAPITAL LETTER O WITH CIRCUMFLEX
ˇ,U+02C7,CARON
ō,U+014D,LATIN SMALL LETTER O WITH MACRON
Ģ,U+0122,LATIN CAPITAL LETTER G WITH CEDILLA
—,U+2014,EM DASH
Ų,U+0172,LATIN CAPITAL LETTER U WITH OGONEK
ų,U+0173,LATIN SMALL LETTER U WITH OGONEK
÷,U+00F7,DIVISION SIGN
Ŕ,U+0154,LATIN CAPITAL LETTER R WITH ACUTE
ô,U+00F4,LATIN SMALL LETTER O WITH CIRCUMFLEX
õ,U+00F5,LATIN SMALL LETTER O WITH TILDE
Č,U+010C,LATIN CAPITAL LETTER C WITH CARON
č,U+010D,LATIN SMALL LETTER C WITH CARON
Ě,U+011A,LATIN CAPITAL LETTER E WITH CARON
ě,U+011B,LATIN SMALL LETTER E WITH CARON
Ň,U+0147,LATIN CAPITAL LETTER N WITH CARON
ň,U+0148,LATIN SMALL LETTER N WITH CARON
Š,U+0160,LATIN CAPITAL LETTER S WITH CARON
Ť,U+0164,LATIN CAPITAL LETTER T WITH CARON
Ä,U+00C4,LATIN CAPITAL LETTER A WITH DIAERESIS
ä,U+00E4,LATIN SMALL LETTER A WITH DIAERESIS
´,U+00B4,ACUTE ACCENT
å,U+00E5,LATIN SMALL LETTER A WITH RING ABOVE
Å,U+00C5,LATIN CAPITAL LETTER A WITH RING ABOVE
,U+F8FF,
ƒ,U+0192,LATIN SMALL LETTER F WITH HOOK
˛,U+02DB,OGONEK
¸,U+00B8,CEDILLA
≈,U+2248,ALMOST EQUAL TO
ç,U+00E7,LATIN SMALL LETTER C WITH CEDILLA
Ω,U+03A9,GREEK CAPITAL LETTER OMEGA
µ,U+00B5,MICRO SIGN
∞,U+221E,INFINITY
±,U+00B1,PLUS-MINUS SIGN
œ,U+0153,LATIN SMALL LIGATURE OE
˙,U+02D9,DOT ABOVE
ı,U+0131,LATIN SMALL LETTER DOTLESS I
π,U+03C0,GREEK SMALL LETTER PI
ﬁ,U+FB01,LATIN SMALL LIGATURE FI
√,U+221A,SQUARE ROOT
æ,U+00E6,LATIN SMALL LETTER AE
ª,U+00AA,FEMININE ORDINAL INDICATOR
ø,U+00F8,LATIN SMALL LETTER O WITH STROKE
‘,U+2018,LEFT SINGLE QUOTATION MARK
≤,U+2264,LESS-THAN OR EQUAL TO
◊,U+25CA,LOZENGE
∑,U+2211,N-ARY SUMMATION
∫,U+222B,INTEGRAL
˘,U+02D8,BREVE
¯,U+00AF,MACRON
⁄,U+2044,FRACTION SLASH
Ç,U+00C7,LATIN CAPITAL LETTER C WITH CEDILLA
˝,U+02DD,DOUBLE ACUTE ACCENT
˜,U+02DC,SMALL TILDE
‡,U+2021,DOUBLE DAGGER
¡,U+00A1,INVERTED EXCLAMATION MARK
¥,U+00A5,YEN SIGN
¢,U+00A2,CENT SIGN
‰,U+2030,PER MILLE SIGN
¿,U+00BF,INVERTED QUESTION MARK
Œ,U+0152,LATIN CAPITAL LIGATURE OE
˚,U+02DA,RING ABOVE
ˆ,U+02C6,MODIFIER LETTER CIRCUMFLEX ACCENT
∏,U+220F,N-ARY PRODUCT
ﬂ,U+FB02,LATIN SMALL LIGATURE FL
Æ,U+00C6,LATIN CAPITAL LETTER AE
º,U+00BA,MASCULINE ORDINAL INDICATOR
Ø,U+00D8,LATIN CAPITAL LETTER O WITH STROKE
“,U+201C,LEFT DOUBLE QUOTATION MARK
·,U+00B7,MIDDLE DOT
≥,U+2265,GREATER-THAN OR EQUAL TO
À,U+00C0,LATIN CAPITAL LETTER A WITH GRAVE
Â,U+00C2,LATIN CAPITAL LETTER A WITH CIRCUMFLEX
Ã,U+00C3,LATIN CAPITAL LETTER A WITH TILDE
Ë,U+00CB,LATIN CAPITAL LETTER E WITH DIAERESIS
È,U+00C8,LATIN CAPITAL LETTER E WITH GRAVE
Ê,U+00CA,LATIN CAPITAL LETTER E WITH CIRCUMFLEX
Ï,U+00CF,LATIN CAPITAL LETTER I WITH DIAERESIS
Ì,U+00CC,LATIN CAPITAL LETTER I WITH GRAVE
Î,U+00CE,LATIN CAPITAL LETTER I WITH CIRCUMFLEX
Ñ,U+00D1,LATIN CAPITAL LETTER N WITH TILDE
Ò,U+00D2,LATIN CAPITAL LETTER O WITH GRAVE
Ù,U+00D9,LATIN CAPITAL LETTER U WITH GRAVE
Û,U+00DB,LATIN CAPITAL LETTER U WITH CIRCUMFLEX
Ÿ,U+0178,LATIN CAPITAL LETTER Y WITH DIAERESIS
à,U+00E0,LATIN SMALL LETTER A WITH GRAVE
â,U+00E2,LATIN SMALL LETTER A WITH CIRCUMFLEX
ã,U+00E3,LATIN SMALL LETTER A WITH TILDE
ë,U+00EB,LATIN SMALL LETTER E WITH DIAERESIS
è,U+00E8,LATIN SMALL LETTER E WITH GRAVE
ê,U+00EA,LATIN SMALL LETTER E WITH CIRCUMFLEX
ï,U+00EF,LATIN SMALL LETTER I WITH DIAERESIS
ì,U+00EC,LATIN SMALL LETTER I WITH GRAVE
î,U+00EE,LATIN SMALL LETTER I WITH CIRCUMFLEX
ñ,U+00F1,LATIN SMALL LETTER N WITH TILDE
ò,U+00F2,LATIN SMALL LETTER O WITH GRAVE
ù,U+00F9,LATIN SMALL LETTER U WITH GRAVE
û,U+00FB,LATIN SMALL LETTER U WITH CIRCUMFLEX
ÿ,U+00FF,LATIN SMALL LETTER Y WITH DIAERESIS
ð,U+00F0,LATIN SMALL LETTER ETH
þ,U+00FE,LATIN SMALL LETTER THORN
Ð,U+00D0,LATIN CAPITAL LETTER ETH
Þ,U+00DE,LATIN CAPITAL LETTER THORN
ˍ,U+02CD,MODIFIER LETTER LOW MACRON
ˀ,U+02C0,MODIFIER LETTER GLOTTAL STOP
ʼ,U+02BC,MODIFIER LETTER APOSTROPHE
̄,U+0304,COMBINING MACRON
 ̑,,
 ̰,,
̱,U+0331,COMBINING MACRON BELOW
‸,U+2038,CARET
̉,U+0309,COMBINING HOOK ABOVE
̣,U+0323,COMBINING DOT BELOW
̧,U+0327,COMBINING CEDILLA
̌,U+030C,COMBINING CARON
̆,U+0306,COMBINING BREVE
̇,U+0307,COMBINING DOT ABOVE
́,U+0301,COMBINING ACUTE ACCENT
 ̏,,
̂,U+0302,COMBINING CIRCUMFLEX ACCENT
̈,U+0308,COMBINING DIAERESIS
̛,U+031B,COMBINING HORN
̦,U+0326,COMBINING COMMA BELOW
̵,U+0335,COMBINING SHORT STROKE OVERLAY
̋,U+030B,COMBINING DOUBLE ACUTE ACCENT
̊,U+030A,COMBINING RING ABOVE
№,U+2116,NUMERO SIGN
̃,U+0303,COMBINING TILDE
̨,U+0328,COMBINING OGONEK
ʔ,U+0294,LATIN LETTER GLOTTAL STOP
̀,U+0300,COMBINING GRAVE ACCENT
ᒡ,U+14A1,CANADIAN SYLLABICS C
ᕻ,U+157B,CANADIAN SYLLABICS NUNAVIK H
ᒃ,U+1483,CANADIAN SYLLABICS K
ᓪ,U+14EA,CANADIAN SYLLABICS L
ᖦ,U+15A6,CANADIAN SYLLABICS LH
ᒻ,U+14BB,CANADIAN SYLLABICS M
ᓐ,U+14D0,CANADIAN SYLLABICS N
ᖕ,U+1595,CANADIAN SYLLABICS NG
ᖖ,U+1596,CANADIAN SYLLABICS NNG
ᑉ,U+1449,CANADIAN SYLLABICS P
ᖅ,U+1585,CANADIAN SYLLABICS Q
ᕐ,U+1550,CANADIAN SYLLABICS R
ᔅ,U+1505,CANADIAN SYLLABICS S
ᑦ,U+1466,CANADIAN SYLLABICS T
ᕝ,U+155D,CANADIAN SYLLABICS F
ᔾ,U+153E,CANADIAN SYLLABICS Y
ʺ,U+02BA,MODIFIER LETTER DOUBLE PRIME
Ɛ,U+0190,LATIN CAPITAL LETTER OPEN E
Ƽ,U+01BC,LATIN CAPITAL LETTER TONE FIVE
ʹ,U+02B9,MODIFIER LETTER PRIME
Ȣ,U+0222,LATIN CAPITAL LETTER OU
ƨ,U+01A8,LATIN SMALL LETTER TONE TWO
ɛ,U+025B,LATIN SMALL LETTER OPEN E
ƽ,U+01BD,LATIN SMALL LETTER TONE FIVE
ƅ,U+0185,LATIN SMALL LETTER TONE SIX
⁊,U+204A,TIRONIAN SIGN ET
ȣ,U+0223,LATIN SMALL LETTER OU
Ƨ,U+01A7,LATIN CAPITAL LETTER TONE TWO
Ă,U+0102,LATIN CAPITAL LETTER A WITH BREVE
Ǎ,U+01CD,LATIN CAPITAL LETTER A WITH CARON
Ȧ,U+0226,LATIN CAPITAL LETTER A WITH DOT ABOVE
Ạ,U+1EA0,LATIN CAPITAL LETTER A WITH DOT BELOW
Ȁ,U+0200,LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
Ả,U+1EA2,LATIN CAPITAL LETTER A WITH HOOK ABOVE
Ȃ,U+0202,LATIN CAPITAL LETTER A WITH INVERTED BREVE
Ā,U+0100,LATIN CAPITAL LETTER A WITH MACRON
Ə,U+018F,LATIN CAPITAL LETTER SCHWA
Ḃ,U+1E02,LATIN CAPITAL LETTER B WITH DOT ABOVE
Ḅ,U+1E04,LATIN CAPITAL LETTER B WITH DOT BELOW
Ɓ,U+0181,LATIN CAPITAL LETTER B WITH HOOK
Ḇ,U+1E06,LATIN CAPITAL LETTER B WITH LINE BELOW
Ć,U+0106,LATIN CAPITAL LETTER C WITH ACUTE
Ĉ,U+0108,LATIN CAPITAL LETTER C WITH CIRCUMFLEX
Ċ,U+010A,LATIN CAPITAL LETTER C WITH DOT ABOVE
Ƈ,U+0187,LATIN CAPITAL LETTER C WITH HOOK
Ɔ,U+0186,LATIN CAPITAL LETTER OPEN O
Ď,U+010E,LATIN CAPITAL LETTER D WITH CARON
Ḑ,U+1E10,LATIN CAPITAL LETTER D WITH CEDILLA
Ḓ,U+1E12,LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
Ḋ,U+1E0A,LATIN CAPITAL LETTER D WITH DOT ABOVE
Ḍ,U+1E0C,LATIN CAPITAL LETTER D WITH DOT BELOW
Ɗ,U+018A,LATIN CAPITAL LETTER D WITH HOOK
Ḏ,U+1E0E,LATIN CAPITAL LETTER D WITH LINE BELOW
Đ,U+0110,LATIN CAPITAL LETTER D WITH STROKE
Ĕ,U+0114,LATIN CAPITAL LETTER E WITH BREVE
Ȩ,U+0228,LATIN CAPITAL LETTER E WITH CEDILLA
Ḙ,U+1E18,LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
Ė,U+0116,LATIN CAPITAL LETTER E WITH DOT ABOVE
Ẹ,U+1EB8,LATIN CAPITAL LETTER E WITH DOT BELOW
Ȅ,U+0204,LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
Ẻ,U+1EBA,LATIN CAPITAL LETTER E WITH HOOK ABOVE
Ȇ,U+0206,LATIN CAPITAL LETTER E WITH INVERTED BREVE
Ē,U+0112,LATIN CAPITAL LETTER E WITH MACRON
Ę,U+0118,LATIN CAPITAL LETTER E WITH OGONEK
E̊,,
Ǝ,U+018E,LATIN CAPITAL LETTER REVERSED E
Ẽ,U+1EBC,LATIN CAPITAL LETTER E WITH TILDE
Ḛ,U+1E1A,LATIN CAPITAL LETTER E WITH TILDE BELOW
Ḟ,U+1E1E,LATIN CAPITAL LETTER F WITH DOT ABOVE
Ƒ,U+0191,LATIN CAPITAL LETTER F WITH HOOK
Ǵ,U+01F4,LATIN CAPITAL LETTER G WITH ACUTE
Ğ,U+011E,LATIN CAPITAL LETTER G WITH BREVE
Ǧ,U+01E6,LATIN CAPITAL LETTER G WITH CARON
Ĝ,U+011C,LATIN CAPITAL LETTER G WITH CIRCUMFLEX
Ġ,U+0120,LATIN CAPITAL LETTER G WITH DOT ABOVE
Ɠ,U+0193,LATIN CAPITAL LETTER G WITH HOOK
Ḡ,U+1E20,LATIN CAPITAL LETTER G WITH MACRON
Ɣ,U+0194,LATIN CAPITAL LETTER GAMMA
Ǥ,U+01E4,LATIN CAPITAL LETTER G WITH STROKE
Ḫ,U+1E2A,LATIN CAPITAL LETTER H WITH BREVE BELOW
Ȟ,U+021E,LATIN CAPITAL LETTER H WITH CARON
Ḩ,U+1E28,LATIN CAPITAL LETTER H WITH CEDILLA
Ĥ,U+0124,LATIN CAPITAL LETTER H WITH CIRCUMFLEX
Ḧ,U+1E26,LATIN CAPITAL LETTER H WITH DIAERESIS
Ḣ,U+1E22,LATIN CAPITAL LETTER H WITH DOT ABOVE
Ḥ,U+1E24,LATIN CAPITAL LETTER H WITH DOT BELOW
H̱,,
Ƕ,U+01F6,LATIN CAPITAL LETTER HWAIR
Ħ,U+0126,LATIN CAPITAL LETTER H WITH STROKE
Ĭ,U+012C,LATIN CAPITAL LETTER I WITH BREVE
Ǐ,U+01CF,LATIN CAPITAL LETTER I WITH CARON
İ,U+0130,LATIN CAPITAL LETTER I WITH DOT ABOVE
Ị,U+1ECA,LATIN CAPITAL LETTER I WITH DOT BELOW
Ȉ,U+0208,LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
Ỉ,U+1EC8,LATIN CAPITAL LETTER I WITH HOOK ABOVE
Ɩ,U+0196,LATIN CAPITAL LETTER IOTA
Ȋ,U+020A,LATIN CAPITAL LETTER I WITH INVERTED BREVE
Ɨ,U+0197,LATIN CAPITAL LETTER I WITH STROKE
Ĩ,U+0128,LATIN CAPITAL LETTER I WITH TILDE
Ḭ,U+1E2C,LATIN CAPITAL LETTER I WITH TILDE BELOW
J̌,,
Ĵ,U+0134,LATIN CAPITAL LETTER J WITH CIRCUMFLEX
Ƞ,U+0220,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
Ḱ,U+1E30,LATIN CAPITAL LETTER K WITH ACUTE
Ǩ,U+01E8,LATIN CAPITAL LETTER K WITH CARON
Ḳ,U+1E32,LATIN CAPITAL LETTER K WITH DOT BELOW
Ƙ,U+0198,LATIN CAPITAL LETTER K WITH HOOK
Ḵ,U+1E34,LATIN CAPITAL LETTER K WITH LINE BELOW
K’,,
Ĺ,U+0139,LATIN CAPITAL LETTER L WITH ACUTE
Ľ,U+013D,LATIN CAPITAL LETTER L WITH CARON
Ḽ,U+1E3C,LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
Ḷ,U+1E36,LATIN CAPITAL LETTER L WITH DOT BELOW
Ḹ,,
Ḻ,U+1E3A,LATIN CAPITAL LETTER L WITH LINE BELOW
Ḿ,U+1E3E,LATIN CAPITAL LETTER M WITH ACUTE
M̂,,
Ṁ,U+1E40,LATIN CAPITAL LETTER M WITH DOT ABOVE
Ṃ,U+1E42,LATIN CAPITAL LETTER M WITH DOT BELOW
Ɯ,U+019C,LATIN CAPITAL LETTER TURNED M
Ń,U+0143,LATIN CAPITAL LETTER N WITH ACUTE
N̂,,
Ṋ,U+1E4A,LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
Ṅ,U+1E44,LATIN CAPITAL LETTER N WITH DOT ABOVE
Ṇ,U+1E46,LATIN CAPITAL LETTER N WITH DOT BELOW
Ǹ,U+01F8,LATIN CAPITAL LETTER N WITH GRAVE
Ɲ,U+019D,LATIN CAPITAL LETTER N WITH LEFT HOOK
Ṉ,U+1E48,LATIN CAPITAL LETTER N WITH LINE BELOW
Ŋ,U+014A,LATIN CAPITAL LETTER ENG
Ŏ,U+014E,LATIN CAPITAL LETTER O WITH BREVE
Ǒ,U+01D1,LATIN CAPITAL LETTER O WITH CARON
Ȯ,U+022E,LATIN CAPITAL LETTER O WITH DOT ABOVE
Ọ,U+1ECC,LATIN CAPITAL LETTER O WITH DOT BELOW
Ȍ,U+020C,LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
Ỏ,U+1ECE,LATIN CAPITAL LETTER O WITH HOOK ABOVE
Ơ,U+01A0,LATIN CAPITAL LETTER O WITH HORN
Ȏ,U+020E,LATIN CAPITAL LETTER O WITH INVERTED BREVE
Ō,U+014C,LATIN CAPITAL LETTER O WITH MACRON
Ǫ,U+01EA,LATIN CAPITAL LETTER O WITH OGONEK
O̊,,
Ɵ,U+019F,LATIN CAPITAL LETTER O WITH MIDDLE TILDE
Ṕ,U+1E54,LATIN CAPITAL LETTER P WITH ACUTE
Ṗ,U+1E56,LATIN CAPITAL LETTER P WITH DOT ABOVE
Ƥ,U+01A4,LATIN CAPITAL LETTER P WITH HOOK
Ƣ,U+01A2,LATIN CAPITAL LETTER OI
Ṙ,U+1E58,LATIN CAPITAL LETTER R WITH DOT ABOVE
Ṛ,U+1E5A,LATIN CAPITAL LETTER R WITH DOT BELOW
Ȑ,U+0210,LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
Ʈ,U+01AE,LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
Ȓ,U+0212,LATIN CAPITAL LETTER R WITH INVERTED BREVE
Ṝ,,
Ṟ,U+1E5E,LATIN CAPITAL LETTER R WITH LINE BELOW
Ʀ,U+01A6,LATIN LETTER YR
Ś,U+015A,LATIN CAPITAL LETTER S WITH ACUTE
Ş,U+015E,LATIN CAPITAL LETTER S WITH CEDILLA
Ŝ,U+015C,LATIN CAPITAL LETTER S WITH CIRCUMFLEX
Ș,U+0218,LATIN CAPITAL LETTER S WITH COMMA BELOW
Ṡ,U+1E60,LATIN CAPITAL LETTER S WITH DOT ABOVE
Ṣ,U+1E62,LATIN CAPITAL LETTER S WITH DOT BELOW
Ʃ,U+01A9,LATIN CAPITAL LETTER ESH
S̄,,
Ţ,U+0162,LATIN CAPITAL LETTER T WITH CEDILLA
Ṱ,U+1E70,LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
Ț,U+021A,LATIN CAPITAL LETTER T WITH COMMA BELOW
T̈,,
Ṫ,U+1E6A,LATIN CAPITAL LETTER T WITH DOT ABOVE
Ṭ,U+1E6C,LATIN CAPITAL LETTER T WITH DOT BELOW
Ƭ,U+01AC,LATIN CAPITAL LETTER T WITH HOOK
Ṯ,U+1E6E,LATIN CAPITAL LETTER T WITH LINE BELOW
Ŧ,U+0166,LATIN CAPITAL LETTER T WITH STROKE
Ŭ,U+016C,LATIN CAPITAL LETTER U WITH BREVE
Ǔ,U+01D3,LATIN CAPITAL LETTER U WITH CARON
Ṷ,U+1E76,LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
Ụ,U+1EE4,LATIN CAPITAL LETTER U WITH DOT BELOW
Ȕ,U+0214,LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
Ủ,U+1EE6,LATIN CAPITAL LETTER U WITH HOOK ABOVE
Ʋ,U+01B2,LATIN CAPITAL LETTER V WITH HOOK
Ư,U+01AF,LATIN CAPITAL LETTER U WITH HORN
Ȗ,U+0216,LATIN CAPITAL LETTER U WITH INVERTED BREVE
Ʊ,U+01B1,LATIN CAPITAL LETTER UPSILON
Ũ,U+0168,LATIN CAPITAL LETTER U WITH TILDE
Ṵ,U+1E74,LATIN CAPITAL LETTER U WITH TILDE BELOW
Ǘ,U+01D7,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
Ǚ,U+01D9,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
Ṿ,U+1E7E,LATIN CAPITAL LETTER V WITH DOT BELOW
Ǜ,U+01DB,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
Ǖ,U+01D5,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
Ṽ,U+1E7C,LATIN CAPITAL LETTER V WITH TILDE
